"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_2",847,2559,2157,3074,1659,411,2687,2703,3111,3148,3263,449,1096,754,947,609,717,960,3356,1392,2129,433,776,734,3296,2374,896,1778,1885,2758,2872,5477,1032,1310,1331,1093,1248,743,2716,280
"OTU_3",55,134,8333,17,237,56,47,29,80,82,45,82,272,270,237,192,135,227,797,5477,267,47,145,15,21,0,0,859,55,68,48,55,172,116,212,753,734,306,346,258
"OTU_4",27,15,68,35,51,0,0,0,0,0,0,83,51,419,328,341,166,0,334,0,113,46,43,0,0,0,7,24,41,0,0,0,235,133,392,811,799,76,20,110
"OTU_5",0,25,10,0,65,0,0,0,0,0,0,275,113,32,72,84,1352,451,55,21,128,83,161,21,0,0,0,0,0,17,0,0,9,121,33,4,40,646,253,112
"OTU_7",0,0,0,0,0,0,0,0,0,0,0,1000,295,283,379,249,1466,605,88,21,125,413,351,0,0,0,0,0,0,4,5,0,279,382,267,227,252,467,244,668
"OTU_8",1194,15,164,0,0,376,321,0,0,0,0,81,98,822,482,248,133,10,0,0,7,10,0,97,0,8,544,4,0,0,0,0,222,9,135,1532,640,28,15,5
"OTU_9",0,40,83,0,85,0,0,0,0,0,0,553,222,460,263,179,949,164,125,13,87,163,89,6,0,0,0,0,74,36,0,0,334,284,173,411,350,403,147,286
"OTU_11",0,0,0,0,0,0,0,0,0,0,0,19,22,75,69,59,67,9,10,0,0,7,0,0,0,0,0,0,0,0,0,0,43,33,33,226,68,20,32,27
"OTU_12",598,752,554,185,692,377,775,158,416,176,27,396,434,693,668,411,625,182,668,106,659,175,245,610,44,1424,1452,549,969,443,720,0,475,423,296,1414,551,269,279,254
"OTU_13",4,7,36,0,109,0,3,0,0,0,0,121,56,57,76,352,327,1104,25,0,34,152,572,0,0,0,0,0,57,8,0,0,212,255,188,61,120,724,347,1750
"OTU_14",209,160,335,970,293,273,885,257,571,1000,3714,267,325,724,563,476,615,811,816,1574,966,215,719,1241,934,183,755,643,1229,743,693,797,381,688,678,605,668,422,493,310
"OTU_15",23,289,645,44,138,260,641,209,219,277,214,146,225,200,152,271,560,454,416,147,121,548,396,44,743,171,24,291,275,304,351,225,265,566,274,89,269,648,398,768
"OTU_16",0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,92,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0,0,0,136,47,102
"OTU_17",14,27,65,70,74,18,119,34,0,12,0,56,59,87,95,227,107,297,125,66,181,69,77,57,8,33,11,79,53,21,63,0,103,143,105,98,260,168,154,218
"OTU_18",0,14,0,16,87,18,154,6,0,12,0,865,490,406,543,261,1947,538,310,51,254,878,1067,27,74,29,6,25,245,38,70,0,246,762,590,466,153,684,313,992
"OTU_19",163,473,351,229,438,28,281,353,353,76,111,329,274,442,408,164,409,114,933,212,548,230,121,150,268,644,394,303,349,793,294,167,344,473,297,473,198,159,345,128
"OTU_20",0,4,12,0,9,0,0,0,0,0,0,51,43,35,35,84,151,282,14,0,8,46,46,0,0,0,0,0,0,0,0,0,38,46,30,43,85,385,130,213
"OTU_21",31,151,248,458,184,95,297,59,85,152,253,394,784,221,202,345,632,538,697,1048,604,407,976,78,289,138,0,120,319,108,169,81,687,747,1052,242,314,520,953,843
"OTU_22",14,169,436,22,526,30,91,0,0,0,0,141,57,514,423,99,262,16,69,0,80,26,0,153,0,12,18,12,130,17,9,0,111,148,152,1282,169,14,124,23
"OTU_23",0,0,0,0,0,740,0,378,0,0,818,0,207,287,0,0,203,351,213,193,3,0,242,707,1498,822,1168,406,1314,700,620,614,1341,184,515,306,292,723,303,210
"OTU_24",0,168,235,3809,148,23,474,125,66,3072,4801,71,155,158,241,162,204,745,1763,1380,2744,39,393,1515,216,354,29,216,2670,450,358,652,293,239,1379,152,323,190,460,159
"OTU_25",0,0,0,0,0,0,0,0,0,0,0,14,5,27,10,10,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,0,0,0
"OTU_26",0,0,57,0,22,0,0,0,0,0,0,37,63,22,43,64,247,171,43,0,0,164,155,0,0,0,0,0,0,0,0,0,80,217,55,40,60,204,224,283
"OTU_27",245,368,362,122,342,101,321,358,388,464,238,96,164,150,297,159,125,60,657,149,368,99,82,236,664,299,280,190,175,368,549,698,190,203,247,327,297,137,166,99
