SampleID,Sample,F_reads_name,R_reads_name,,Isolate_ID,Sample common name,Expedition type,Expedition_ID,Sampling Date,Sampling Time,Collection time zone,Expedition station number,"Coordinates, decimal",Location,Biome,Sample type,Host organism,Body site,Host organism picture,"Depth, m","Elevation, m","Temperature, C",Soil type,Soil horizon,pH,"Salinity, ppt","Conductivity, mS/cm","DNA concentration, ng/mkl",Sequencing method,OTU table,Raw sequencing data,Sequencing data MD5 checksum,Source sample ID,Derivative sample ID,Comments,Presence of antimicrobial activity (cell culture),Presence of antimicrobial activity (cell extract),"DNA concentration after 16S PCR (ng/mkL, Qubit)"
14390,S1_bulk1,14390_S120_L001_R1_001.fastq.gz,14390_S120_L001_R2_001.fastq.gz,,,Baikal Soil 1.1 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283641 N, 107.57677 E",Olkhon Island,soil,soil,,,,0.20,465.00,14.20,,,,,,11.6,,,,,14250,,,,,
14396,S1_bulk2,14396_S121_L001_R1_001.fastq.gz,14396_S121_L001_R2_001.fastq.gz,,,Baikal Soil 1.7 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283994 N, 107.57663 E",Olkhon Island,soil,soil,,,,0.20,465.00,14.20,,,,,,48,,,,,14256,,,,,
14397,S1_bulk3,14397_S122_L001_R1_001.fastq.gz,14397_S122_L001_R2_001.fastq.gz,,,Baikal Soil 1.8 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.28405 N, 107.576618 E",Olkhon Island,soil,soil,,,,0.20,464.00,14.20,,,,,,31.6,,,,,14257,,,,,
14398,S1_bulk4,14398_S123_L001_R1_001.fastq.gz,14398_S123_L001_R2_001.fastq.gz,,,Baikal Soil 1.9 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.284121 N, 107.57662 E",Olkhon Island,soil,soil,,,,0.20,464.00,14.20,,,,,,25.8,,,,,14258,,,,,
14399,S1_bulk5,14399_S124_L001_R1_001.fastq.gz,14399_S124_L001_R2_001.fastq.gz,,,Baikal Soil 1.10 1g Power Soil Pro kit,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.28414 N, 107.576568 E",Olkhon Island,soil,soil,,,,0.20,464.00,14.20,,,,,,55.4,,,,,14259,,,,,
14922,S1_bulk6,14922_S219_L001_R1_001.fastq.gz,14922_S219_L001_R2_001.fastq.gz,,,Baikal Soil 1.2 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283686 N, 107.576711 E",Olkhon Island,soil,soil,,,,0.20,465.00,14.20,,,,,,7.46,,,,,14391,,,,,
14923,S1_bulk7,14923_S220_L001_R1_001.fastq.gz,14923_S220_L001_R2_001.fastq.gz,,,Baikal Soil 1.3 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283804 N, 107.576567 E",Olkhon Island,soil,soil,,,,0.20,466.00,14.20,,,,,,8.32,,,,,14392,,,,,
14924,S1_bulk8,14924_S221_L001_R1_001.fastq.gz,14924_S221_L001_R2_001.fastq.gz,,,Baikal Soil 1.4 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283828 N, 107.576677 E",Olkhon Island,soil,soil,,,,0.20,464.00,14.20,,,,,,9.86,,,,,14393,,,,,
14925,S1_bulk9,14925_S222_L001_R1_001.fastq.gz,14925_S222_L001_R2_001.fastq.gz,,,Baikal Soil 1.5 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283901 N, 107.576675 E",Olkhon Island,soil,soil,,,,0.20,465.00,14.20,,,,,,8.82,,,,,14394,,,,,
14926,S1_bulk10,14926_S223_L001_R1_001.fastq.gz,14926_S223_L001_R2_001.fastq.gz,,,Baikal Soil 1.6 1g Power Soil Pro kit + Evrogen,Terrestrial,28 (Baikal Terrestrial 2023),6/16/2023,,,1,"53.283948 N, 107.576679 E",Olkhon Island,soil,soil,,,,0.20,465.00,14.20,,,,,,15.8,,,,,14395,,,,,
