	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Bradyrhizobium	
OTU_3	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	
OTU_4	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_5	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	
OTU_7	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_8	Bacteria	Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	wb1-P19	
OTU_9	Bacteria	Actinomycetota					
OTU_11	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	
OTU_12	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_13	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_14	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_15	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	
OTU_16	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae		
OTU_17	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Desertimonas	
OTU_18	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_19	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_20	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae		
OTU_21	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Mangrovihabitans	yamanashiensis
OTU_22	Bacteria	Actinomycetota	MB-A2-108				
OTU_23	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	marcescens
OTU_24	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	
OTU_25	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales			
OTU_26	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_27	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_28	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_29	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_30	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_31	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	
OTU_32	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_33	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_34	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Microvirga	
OTU_35	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	
OTU_36	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_37	Bacteria	RCP2-54					
OTU_38	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae		
OTU_39	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
OTU_40	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_41	Bacteria						
OTU_42	Bacteria	RCP2-54					
OTU_43	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mesorhizobium	
OTU_44	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
OTU_45	Bacteria	Chloroflexota	Gitt-GS-136				
OTU_46	Bacteria	Chloroflexota	KD4-96				
OTU_47	Bacteria	Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae		
OTU_48	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_49	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_50	Bacteria	Actinomycetota	Actinobacteria	0319-7L14			
OTU_51	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Enterovirga	
OTU_52	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_54	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_55	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	
