,OTU_name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2,OTU_2,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Bradyrhizobium,NA
OTU_3,OTU_3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
OTU_4,OTU_4,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_5,OTU_5,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Crossiella,NA
OTU_7,OTU_7,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_8,OTU_8,Bacteria,Pseudomonadota,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,wb1-P19,NA
OTU_9,OTU_9,Bacteria,Actinomycetota,NA,NA,NA,NA,NA
OTU_11,OTU_11,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,NA
OTU_12,OTU_12,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_13,OTU_13,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_14,OTU_14,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
OTU_15,OTU_15,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,NA
OTU_16,OTU_16,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA
OTU_17,OTU_17,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Desertimonas,NA
OTU_18,OTU_18,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_19,OTU_19,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_20,OTU_20,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA,NA
OTU_21,OTU_21,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Mangrovihabitans,yamanashiensis
OTU_22,OTU_22,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_23,OTU_23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,marcescens
OTU_24,OTU_24,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
OTU_25,OTU_25,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,NA,NA,NA
OTU_26,OTU_26,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_27,OTU_27,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_28,OTU_28,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_29,OTU_29,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_30,OTU_30,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_31,OTU_31,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,NA
OTU_32,OTU_32,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_33,OTU_33,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_34,OTU_34,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,NA
OTU_35,OTU_35,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus,NA
OTU_36,OTU_36,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_37,OTU_37,Bacteria,RCP2-54,NA,NA,NA,NA,NA
OTU_38,OTU_38,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methyloligellaceae,NA,NA
OTU_39,OTU_39,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,NA
OTU_40,OTU_40,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_41,OTU_41,Bacteria,NA,NA,NA,NA,NA,NA
OTU_42,OTU_42,Bacteria,RCP2-54,NA,NA,NA,NA,NA
OTU_43,OTU_43,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Mesorhizobium,NA
OTU_44,OTU_44,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
OTU_45,OTU_45,Bacteria,Chloroflexota,Gitt-GS-136,NA,NA,NA,NA
OTU_46,OTU_46,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_47,OTU_47,Bacteria,Pseudomonadota,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA,NA
OTU_48,OTU_48,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_49,OTU_49,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_50,OTU_50,Bacteria,Actinomycetota,Actinobacteria,0319-7L14,NA,NA,NA
OTU_51,OTU_51,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Enterovirga,NA
OTU_52,OTU_52,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_54,OTU_54,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_55,OTU_55,Bacteria,Pseudomonadota,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,NA
